boolean,5416900,443460
int,4513700,443460
double,8888400,443460
float,4362900,443460
long,8617900,443460
boolean,3266400,339609
int,3129900,339609
double,6432900,339609
float,3109800,339609
long,6379700,339609
boolean,2243300,239648
int,2270400,239648
double,3999300,239648
float,1925400,239648
long,3810100,239648
boolean,4007000,431049
int,3778200,431049
double,6802500,431049
float,3386500,431049
long,7151800,431049
boolean,2722600,336267
int,2653000,336267
double,5433000,336267
float,2702700,336267
long,5716700,336267
boolean,269700,29532
int,232800,29532
double,455100,29532
float,227000,29532
long,504500,29532
boolean,5510400,697259
int,5999500,697259
double,11593000,697259
float,5912800,697259
long,11107900,697259
boolean,5292500,662120
int,5119700,662120
double,10749800,662120
float,5106700,662120
long,10861600,662120
boolean,5662700,699699
int,5626400,699699
double,15316500,699699
float,8927100,699699
long,13246500,699699
boolean,2411000,301131
int,2356500,301131
double,4761600,301131
float,2714800,301131
long,4751300,301131
boolean,1411900,174535
int,1361000,174535
double,2777300,174535
float,1356800,174535
long,2682500,174535
boolean,257900,25364
int,294400,25364
double,545100,25364
float,194900,25364
long,449800,25364
boolean,4176000,525291
int,4375300,525291
double,8435400,525291
float,4200700,525291
long,8352000,525291
boolean,3414800,378309
int,3000200,378309
double,5950100,378309
float,2905900,378309
long,6504600,378309
boolean,1947000,243312
int,1915300,243312
double,3740600,243312
float,1962100,243312
long,4644800,243312
boolean,6989800,875008
int,6995100,875008
double,14100900,875008
float,11005800,875008
long,18043100,875008
boolean,3868600,426133
int,4483300,426133
double,7052800,426133
float,3465600,426133
long,6990500,426133
boolean,7725300,976391
int,8089500,976391
double,15790100,976391
float,7698600,976391
long,15718700,976391
boolean,5816000,739371
int,6544800,739371
double,13986200,739371
float,6398300,739371
long,12068100,739371
boolean,630000,67686
int,522000,67686
double,1041200,67686
float,519800,67686
long,1119200,67686
boolean,7299600,905427
int,7581600,905427
double,14889000,905427
float,7998800,905427
long,16231000,905427
boolean,2727700,341850
int,3162600,341850
double,5443200,341850
float,2744800,341850
long,5624600,341850
boolean,6969100,850984
int,6973800,850984
double,13750600,850984
float,7594000,850984
long,13540400,850984
boolean,5857500,709260
int,5729100,709260
double,11425300,709260
float,5612300,709260
long,11493400,709260
boolean,7329600,933012
int,7806100,933012
double,15497400,933012
float,7765300,933012
long,15389400,933012
boolean,1222100,151657
int,1209700,151657
double,2343200,151657
float,1894300,151657
long,2488700,151657
boolean,5887800,753326
int,6349100,753326
double,12363500,753326
float,5889200,753326
long,11843800,753326
boolean,4307800,544338
int,4201800,544338
double,8614500,544338
float,4341500,544338
long,8537400,544338
boolean,1386600,166660
int,1279700,166660
double,2631100,166660
float,1280000,166660
long,2601400,166660
boolean,3209000,398268
int,3084300,398268
double,6295800,398268
float,3059100,398268
long,6259300,398268
boolean,2376200,293497
int,2451200,293497
double,5026200,293497
float,2710800,293497
long,5421000,293497
boolean,2977000,360873
int,2782500,360873
double,5645400,360873
float,2772000,360873
long,5768600,360873
boolean,397800,42236
int,324500,42236
double,674100,42236
float,332500,42236
long,663500,42236
boolean,4194400,527044
int,4136400,527044
double,8289400,527044
float,4093700,527044
long,8300000,527044
boolean,2694600,333888
int,2826100,333888
double,5202100,333888
float,2671800,333888
long,5221400,333888
boolean,1496700,129317
int,1024400,129317
double,2019100,129317
float,993300,129317
long,2019000,129317
boolean,707900,56105
int,612600,56105
double,1486800,56105
float,464300,56105
long,2228800,56105
boolean,2563600,327180
int,2754300,327180
double,6199500,327180
float,4448800,327180
long,5203600,327180
boolean,6432200,808895
int,6325900,808895
double,12987400,808895
float,6366800,808895
long,12881100,808895
boolean,1077500,131116
int,1016300,131116
double,2043100,131116
float,1063200,131116
long,2096400,131116
boolean,1580500,190310
int,1783600,190310
double,4147400,190310
float,2264700,190310
long,4618400,190310
boolean,2593300,257458
int,2182100,257458
double,4334800,257458
float,2027300,257458
long,4285500,257458
boolean,3643200,448157
int,3467900,448157
double,7452100,448157
float,3669400,448157
long,7180000,448157
boolean,3148800,394290
int,3237800,394290
double,6120100,394290
float,3123600,394290
long,6240500,394290
boolean,4740500,602311
int,4719000,602311
double,9602100,602311
float,4759800,602311
long,9643400,602311
boolean,847400,103258
int,815000,103258
double,1618000,103258
float,815200,103258
long,1602500,103258
boolean,4279700,527407
int,4180700,527407
double,8970900,527407
float,4151600,527407
long,8428000,527407
boolean,3364200,413622
int,3351900,413622
double,6601300,413622
float,3276300,413622
long,10306200,413622
boolean,3258300,317849
int,2921200,317849
double,4957700,317849
float,2727800,317849
long,5232800,317849
boolean,231400,20947
int,200200,20947
double,394600,20947
float,192000,20947
long,380700,20947
boolean,7876900,875684
int,6806400,875684
double,13847000,875684
float,6950200,875684
long,13919700,875684
boolean,991500,113645
int,1043300,113645
double,1776800,113645
float,884500,113645
long,1795900,113645
boolean,2650100,333952
int,2636600,333952
double,6333000,333952
float,3129300,333952
long,5408700,333952
boolean,363500,39880
int,332200,39880
double,646600,39880
float,370500,39880
long,620600,39880
boolean,6215900,792626
int,6126000,792626
double,12438200,792626
float,6346400,792626
long,12474000,792626
boolean,7716100,982300
int,7790800,982300
double,15663500,982300
float,7874400,982300
long,15587500,982300
boolean,3349100,421789
int,3315000,421789
double,6999200,421789
float,3315500,421789
long,6629000,421789
boolean,5722500,719076
int,5629000,719076
double,11263500,719076
float,5605000,719076
long,11348500,719076
boolean,2228700,281324
int,2201000,281324
double,4534900,281324
float,2207600,281324
long,4353900,281324
boolean,1591600,199208
int,1542400,199208
double,3161300,199208
float,1625300,199208
long,3146400,199208
boolean,4071100,499299
int,3908900,499299
double,8323100,499299
float,4011100,499299
long,8117200,499299
boolean,4878900,609085
int,4921500,609085
double,12145100,609085
float,5106900,609085
long,10403500,609085
boolean,8769500,963332
int,8546400,963332
double,18447700,963332
float,7780700,963332
long,15243800,963332
boolean,6003200,728811
int,5759700,728811
double,11674500,728811
float,5860600,728811
long,11508300,728811
boolean,7481700,954466
int,7798800,954466
double,14910400,954466
float,7429300,954466
long,15030000,954466
boolean,8785900,929233
int,7437100,929233
double,14897400,929233
float,7592900,929233
long,14703300,929233
boolean,4247000,543592
int,4284700,543592
double,8422500,543592
float,4613300,543592
long,8569100,543592
boolean,1916200,245635
int,1978000,245635
double,3859500,245635
float,1956800,245635
long,3798800,245635
boolean,1765000,224294
int,1819000,224294
double,3526600,224294
float,1731400,224294
long,3477100,224294
boolean,5133600,651345
int,5582300,651345
double,10113700,651345
float,5231300,651345
long,10117700,651345
boolean,5369600,638403
int,5002300,638403
double,10028300,638403
float,4991800,638403
long,10282300,638403
boolean,54100,6279
int,56900,6279
double,133600,6279
float,57700,6279
long,100900,6279
boolean,6939500,880356
int,7025500,880356
double,13847300,880356
float,6770600,880356
long,14003800,880356
boolean,1271800,160609
int,1235100,160609
double,2543900,160609
float,1269300,160609
long,2589400,160609
boolean,1941700,248363
int,1908500,248363
double,3841000,248363
float,1965600,248363
long,3896100,248363
boolean,3603600,370827
int,3814600,370827
double,5857100,370827
float,3174900,370827
long,7140500,370827
boolean,2328800,276266
int,2155500,276266
double,4368800,276266
float,2165900,276266
long,4889700,276266
boolean,6795300,871377
int,6856200,871377
double,13679600,871377
float,6788800,871377
long,16564000,871377
boolean,400200,36707
int,299700,36707
double,590100,36707
float,286600,36707
long,567900,36707
boolean,6413500,814092
int,6433800,814092
double,13823200,814092
float,7282700,814092
long,14509900,814092
boolean,4208300,523757
int,4364000,523757
double,8392800,523757
float,4118400,523757
long,8310700,523757
boolean,4080000,513688
int,4052500,513688
